Date,Cases,Deaths,Tests,Cases/Population,Diff Cases/Population,Deaths/Cases,Tests/Cases
2020-10-25,219704.0,10057.0,10824708.0,0.5844745943069966,0.7366320830007989,4.577522484797728,49.269508065397076
2020-10-26,223984.0,10095.0,10919294.0,0.5958606012237297,1.1386006916733193,4.507018358454175,48.75033038074148
2020-10-27,226721.0,10120.0,10993171.0,0.6031417930300611,0.7281191806331355,4.46363592256562,48.487661045955164
2020-10-28,229446.0,10158.0,11055901.0,0.610391061452514,0.7249268422452881,4.427185481551215,48.18519826015707
2020-10-29,232497.0,10192.0,11139581.0,0.6185075818036712,0.8116520351157175,4.383712478010469,47.912794573693425
2020-10-30,235898.0,10237.0,11231881.0,0.6275552008512902,0.9047619047619082,4.3395874488126225,47.61329472907782
2020-10-31,238191.0,10276.0,11329993.0,0.6336552274541102,0.6100026602819941,4.31418483485942,47.56683921726682
2020-11-01,240586.0,10313.0,11426963.0,0.6400266028198989,0.637137536578869,4.286616843872877,47.496375516447344
2020-11-02,243974.0,10345.0,11516627.0,0.6490396382016493,0.9013035381750467,4.240205923582021,47.204320952232614
2020-11-03,248905.0,10403.0,11586165.0,0.6621574886938015,1.3117850492152194,4.179506237319459,46.548542616660974
2020-11-04,251822.0,10444.0,11649796.0,0.6699175312583133,0.7760042564511793,4.1473739387345026,46.26202635194701
2020-11-05,254739.0,10484.0,11729364.0,0.6776775738228252,0.7760042564511904,4.115584971284334,46.04463391942341
2020-11-06,260195.0,10546.0,11826258.0,0.6921920723596702,1.4514498536844944,4.053114010645862,45.451519053017925
2020-11-07,264545.0,10593.0,11928609.0,0.7037642990156957,1.157222665602553,4.004233684250317,45.0910393316827
2020-11-08,268395.0,10641.0,12028151.0,0.7140063846767758,1.0242085661080091,3.9646789247191636,44.81510832914175
2020-11-09,273304.0,10702.0,12116510.0,0.7270657089651503,1.305932428837453,3.9157860843602723,44.33345285835553
2020-11-10,277892.0,10769.0,12192838.0,0.7392710827347699,1.220537376961961,3.8752464986397595,43.876174916874184
2020-11-11,281888.0,10832.0,12264295.0,0.7499015695663741,1.063048683160417,3.8426609149733224,43.507687450334885
2020-11-12,287329.0,10905.0,12358240.0,0.7643761638733706,1.447459430699649,3.795300857205503,43.010764663504204
2020-11-13,292173.0,10951.0,12460757.0,0.7772625698324023,1.2886405959031677,3.748121831928344,42.64855753269467
2020-11-14,296394.0,11013.0,12562354.0,0.7884916201117318,1.1229050279329522,3.715662260369643,42.38396863634217
2020-11-15,300597.0,11078.0,12670682.0,0.7996727853152434,1.1181165203511645,3.685332854286636,42.15172473444512
2020-11-16,306437.0,11152.0,12773233.0,0.8152088321362063,1.5536046820962879,3.639247218841067,41.683063729249405
2020-11-17,311043.0,11220.0,12857284.0,0.8274620909816441,1.225325884543782,3.6072182945766342,41.33603392456992
2020-11-18,315586.0,11324.0,12931224.0,0.8395477520617185,1.2085661080074361,3.5882453594265904,40.97527773728873
2020-11-19,320481.0,11394.0,13025678.0,0.8525698324022347,1.3022080340516218,3.5552809682945323,40.64415051126276
2020-11-20,325356.0,11461.0,13136367.0,0.865538707102953,1.296887470071828,3.522602933402181,40.37536421642754
2020-11-21,330240.0,11527.0,13252042.0,0.8785315243415801,1.2992817238627108,3.4904917635658914,40.12851865310078
2020-11-22,335038.0,11583.0,13373339.0,0.891295557329077,1.2764032987496843,3.457219778055027,39.91588715309905
2020-11-23,341746.0,11662.0,13486536.0,0.9091407289172652,1.7845171588188213,3.4124759324176432,39.46362503145611
2020-11-24,347135.0,11762.0,13583460.0,0.9234769885607874,1.4336259643522253,3.38830714275426,39.130194304809365
2020-11-25,352376.0,11820.0,13664747.0,0.9374195264698059,1.3942537909018449,3.354371466842237,38.77888108157196
2020-11-26,357926.0,11902.0,13765816.0,0.9521840915137004,1.4764565043894562,3.3252683515587025,38.459949822030254
2020-11-27,363884.0,11988.0,13883888.0,0.9680340516094706,1.5849960095770221,3.2944564751404295,38.154708643413834
2020-11-28,369510.0,12056.0,14016273.0,0.9830007980845971,1.4966746475126413,3.262699250358583,37.93205325972234
2020-11-29,374880.0,12130.0,14149766.0,0.9972865123703113,1.4285714285714235,3.2357020913358943,37.744787665386255
2020-11-30,382708.0,12239.0,14277692.0,1.0181111997871775,2.082468741686616,3.1979995192156947,37.307012134577796
2020-12-01,388543.0,12317.0,14381174.0,1.033633945198191,1.5522745411013616,3.1700481027839906,37.01308220711736
2020-12-02,395028.0,12423.0,14473250.0,1.0508858739026337,1.7251928704442587,3.1448403657462256,36.638542078029914
2020-12-03,401325.0,12513.0,14591325.0,1.0676376695929768,1.675179569034313,3.117921883760045,36.35787703233041
2020-12-04,408165.0,12616.0,14719207.0,1.0858339984038308,1.819632881085398,3.0909068636458294,36.06190388690848
2020-12-05,414131.0,12690.0,14852779.0,1.1017052407555201,1.5871242351689352,3.0642477863284805,35.86492921321997
2020-12-06,420281.0,12775.0,14985423.0,1.1180659749933493,1.6360734237829133,3.03963300744026,35.65572319471973
2020-12-07,428054.0,12896.0,15122337.0,1.1387443469007714,2.0678371907422166,3.012704004634929,35.328105799735546
2020-12-08,434320.0,12993.0,15230658.0,1.155413673849428,1.6669326948656638,2.991573033707865,35.067825566402654
2020-12-09,440737.0,13109.0,15328313.0,1.1724847033785581,1.7071029529130088,2.9743361687355496,34.7788204757032
2020-12-10,447341.0,13227.0,15449032.0,1.1900532056397979,1.7568502261239738,2.956804764150838,34.535247160443596
2020-12-11,454254.0,13355.0,15584772.0,1.2084437350359138,1.8390529396115962,2.939985118457955,34.30849700828171
2020-12-12,460332.0,13453.0,15728238.0,1.2246129289704708,1.6169193934556958,2.922455966563263,34.167161961367015
2020-12-13,466016.0,13537.0,15877256.0,1.2397339718010107,1.5121042830539944,2.90483588546316,34.07019501476344
2020-12-14,474661.0,13677.0,16008664.0,1.262732109603618,2.2998137802607177,2.8814248484708034,33.726520611552246
2020-12-15,480952.0,13793.0,16132400.0,1.2794679436020218,1.6735833998403837,2.867853756715847,33.5426404298142
2020-12-16,487685.0,13911.0,16229379.0,1.2973796222399574,1.7911678637935635,2.852455991059803,33.27840511805776
2020-12-17,495152.0,14067.0,16356624.0,1.317243947858473,1.9864325618515588,2.8409458105793775,33.03354121562672
2020-12-18,502197.0,14180.0,16493272.0,1.3359856344772545,1.8741686618781506,2.8235931317789635,32.84223521845013
2020-12-19,508674.0,14284.0,16640503.0,1.3532162809257782,1.7230646448523679,2.808085335598045,32.71349233497289
2020-12-20,514500.0,14374.0,16783349.0,1.3687150837988826,1.5498802873104456,2.793780369290573,32.620697764820214
2020-12-21,522076.0,14481.0,16922977.0,1.3888693801542962,2.015429635541355,2.77373409235437,32.4147767757951
2020-12-22,528307.0,14607.0,17037732.0,1.4054455972333066,1.657621707901047,2.7648696685828504,32.24968058344864
2020-12-23,535204.0,14752.0,17140068.0,1.4237935621175846,1.8347964884277923,2.7563321649315027,32.025298764583226
2020-12-24,541936.0,14902.0,17269154.0,1.4417025804735302,1.7909018355945605,2.749771190694104,31.86567048507573
2020-12-25,545983.0,14966.0,17405025.0,1.4524687416866187,1.0766161213088488,2.7411109869721217,31.878327713500237
2020-12-26,551184.0,15051.0,17533075.0,1.4663048683160416,1.3836126629422907,2.7306670730645304,31.80984027112543
2020-12-27,556649.0,15171.0,17632876.0,1.4808433093907953,1.4538441074753772,2.7254158365505012,31.676830462284133
2020-12-28,563156.0,15328.0,17708419.0,1.4981537642990157,1.7310454908220363,2.7218035499932522,31.44496196435801
2020-12-29,571823.0,15528.0,17786792.0,1.5212104283054004,2.305666400638473,2.7155256084487682,31.105415486960126
2020-12-30,580573.0,15650.0,17864192.0,1.5444878957169461,2.3277467411545683,2.6956127825441416,30.769932463273353
2020-12-31,587429.0,15762.0,17965095.0,1.5627267890396381,1.8238893322692018,2.683217886757378,30.582581043836786
2021-01-01,591149.0,15806.0,18097623.0,1.5726230380420325,0.9896249002394386,2.6737759854114618,30.61431720260036
2021-01-02,598091.0,15914.0,18229970.0,1.5910907156158554,1.8467677573822838,2.660799109165662,30.480261364909353
2021-01-03,608734.0,16006.0,18342575.0,1.6194040968342645,2.8313381218409095,2.6293914911931977,30.132332020225583
2021-01-04,618801.0,16247.0,18430711.0,1.6461851556264964,2.6781058792231915,2.6255613678710925,29.78455270757481
2021-01-05,626129.0,16389.0,18514140.0,1.665679702048417,1.9494546421920722,2.6175117268166783,29.569210178733137
2021-01-06,634437.0,16539.0,18597612.0,1.687781324820431,2.2101622772013885,2.6068782243154165,29.31356777741525
2021-01-07,642978.0,16704.0,18716320.0,1.7105027932960895,2.272146847565848,2.597911592620587,29.108803100572647
2021-01-08,652373.0,16846.0,18851810.0,1.7354961425911146,2.499334929502517,2.582265053887883,28.897287288100518
2021-01-09,659647.0,16984.0,18998073.0,1.7548470337855813,1.9350891194466646,2.574710413296809,28.800362921380678
2021-01-10,666375.0,17074.0,19139670.0,1.7727454110135674,1.789837722798615,2.562220971675108,28.722070906021383
2021-01-11,674624.0,17199.0,19260709.0,1.7946900771481775,2.1944666134610102,2.5494201214306043,28.550287271131772
2021-01-12,681015.0,17359.0,19355884.0,1.8116919393455708,1.7001862197393303,2.5489893761517735,28.42211111355844
2021-01-13,688097.0,17539.0,19449427.0,1.8305320563979783,1.8840117052407512,2.5489138885941953,28.265530877187373
2021-01-14,695359.0,17686.0,19569464.0,1.849851024208566,1.9318967810587617,2.5434343986343744,28.14296500081253
2021-01-15,702203.0,17856.0,19713708.0,1.8680579941473798,1.8206969938813877,2.542854416742737,28.07408683813655
2021-01-16,708263.0,17978.0,19860051.0,1.8841793030061185,1.6121308858738637,2.5383226287410183,28.040503315858658
2021-01-17,714316.0,18106.0,20001761.0,1.9002819898909284,1.610268688480998,2.5347325273408408,28.00127814580662
2021-01-18,720440.0,18231.0,20122360.0,1.9165735567970206,1.6291566906092125,2.5305368941202597,27.930653489534173
2021-01-19,725599.0,18382.0,20205977.0,1.9302979515828675,1.3724394785846972,2.533355200324146,27.847305467620544
2021-01-20,731371.0,18567.0,20285433.0,1.9456530992285181,1.5355147645650602,2.5386568513107575,27.736173569911852
2021-01-21,737654.0,18706.0,20407889.0,1.962367650971003,1.6714551742484929,2.5358772541055834,27.66593687555412
2021-01-22,743384.0,18887.0,20546199.0,1.977611066773078,1.5243415802074889,2.5406788416215575,27.638742561045166
2021-01-23,748123.0,18992.0,20688427.0,1.9902181431231711,1.2607076350093172,2.5386199862856778,27.653777520541407
2021-01-24,752510.0,19119.0,20817447.0,2.001888800212823,1.1670657089651648,2.540697133592909,27.664013767258908
2021-01-25,758142.0,19245.0,20924370.0,2.016871508379888,1.4982708167065262,2.538442666413416,27.59953940027066
2021-01-26,762368.0,19392.0,21001832.0,2.0281138600691673,1.1242351689279229,2.5436534586971122,27.54815522162525
2021-01-27,766633.0,19485.0,21078482.0,2.039459962756052,1.1346102686884851,2.5416333499862387,27.494879557754494
2021-01-28,771358.0,19676.0,21201895.0,2.052029795158287,1.2569832402234749,2.5508259459291276,27.48645246435507
