Date,Cases,Deaths,Tests,Cases/Population,Diff Cases/Population,Deaths/Cases,Tests/Cases
2020-12-05,414131.0,12690.0,14852779.0,1.1017052407555201,0.015871242351689352,3.0642477863284805,3586.4929213219975
2020-12-06,420281.0,12775.0,14985423.0,1.1180659749933493,0.016360734237829133,3.03963300744026,3565.5723194719726
2020-12-07,428054.0,12896.0,15122337.0,1.1387443469007714,0.020678371907422166,3.012704004634929,3532.8105799735545
2020-12-08,434320.0,12993.0,15230658.0,1.155413673849428,0.016669326948656638,2.991573033707865,3506.7825566402653
2020-12-09,440737.0,13109.0,15328313.0,1.1724847033785581,0.01707102952913009,2.9743361687355496,3477.88204757032
2020-12-10,447341.0,13227.0,15449032.0,1.1900532056397979,0.017568502261239738,2.956804764150838,3453.5247160443596
2020-12-11,454254.0,13355.0,15584772.0,1.2084437350359138,0.018390529396115962,2.939985118457955,3430.849700828171
2020-12-12,460332.0,13453.0,15728238.0,1.2246129289704708,0.016169193934556958,2.922455966563263,3416.7161961367015
2020-12-13,466016.0,13537.0,15877256.0,1.2397339718010107,0.015121042830539944,2.90483588546316,3407.019501476344
2020-12-14,474661.0,13677.0,16008664.0,1.262732109603618,0.022998137802607177,2.8814248484708034,3372.6520611552246
2020-12-15,480952.0,13793.0,16132400.0,1.2794679436020218,0.016735833998403837,2.867853756715847,3354.26404298142
2020-12-16,487685.0,13911.0,16229379.0,1.2973796222399574,0.017911678637935635,2.852455991059803,3327.8405118057763
2020-12-17,495152.0,14067.0,16356624.0,1.317243947858473,0.019864325618515588,2.8409458105793775,3303.354121562672
2020-12-18,502197.0,14180.0,16493272.0,1.3359856344772545,0.018741686618781506,2.8235931317789635,3284.223521845013
2020-12-19,508674.0,14284.0,16640503.0,1.3532162809257782,0.01723064644852368,2.808085335598045,3271.349233497289
2020-12-20,514500.0,14374.0,16783349.0,1.3687150837988826,0.015498802873104456,2.793780369290573,3262.0697764820216
2020-12-21,522076.0,14481.0,16922977.0,1.3888693801542962,0.020154296355413548,2.77373409235437,3241.47767757951
2020-12-22,528307.0,14607.0,17037732.0,1.4054455972333066,0.01657621707901047,2.7648696685828504,3224.9680583448635
